4	Vijeo-Designer Language Export
ID	Francais	Русский	Location
408	24:00:00	24:00:00	\Graphical Panels\Base Panels\Ecran91\Text13
410	<< NL	<< NL	\Graphical Panels\Base Panels\Ecran91\Text05
411	FR >>	FR >>	\Graphical Panels\Base Panels\Ecran91\Text05
413	Date	Дата	\Graphical Panels\Base Panels\Ecran91\ResumeAlarme02\Columns\Date
414	Message	Сообщение	\Graphical Panels\Base Panels\Ecran91\ResumeAlarme02\Columns\Message
415	Etat	Этап	\Graphical Panels\Base Panels\Ecran91\ResumeAlarme02\Columns\State
416	Heure	Час	\Graphical Panels\Base Panels\Ecran91\ResumeAlarme02\Columns\Time
418	Previous	Пред.	\Graphical Panels\Base Panels\Ecran91\Texte04
431	Pression	Давление	\Graphical Panels\Base Panels\Ecran61\Commutateur04
436	Program T2	Программа T2	\Recipes\Temperature_Group\Recipe\2
575	Configuration	Конфигурация	\Graphical Panels\Base Panels\Ecran20\Commutateur04
574	E-Stops	Аварийные остановки	\Graphical Panels\Base Panels\Ecran20\Commutateur07
573	Trend	Тренд	\Graphical Panels\Base Panels\Ecran20\Commutateur06
572	Alarmes	Сообщения	\Graphical Panels\Base Panels\Ecran20\Commutateur01
570	Maxxtec	Maxxtec	\Graphical Panels\Base Panels\Ecran10\Commutateur07
569	Pressure	Давление	\Graphical Panels\Base Panels\Ecran10\Commutateur08
568	Temperatur	Температура	\Graphical Panels\Base Panels\Ecran10\Commutateur07
567	Presse	Пресс	\Graphical Panels\Base Panels\Ecran10\Commutateur07
566	Configuration	Конфигурация	\Graphical Panels\Base Panels\Ecran10\Commutateur04
565	E-Stops	Аварийные остановки	\Graphical Panels\Base Panels\Ecran10\Commutateur07
564	Trend	Тренд	\Graphical Panels\Base Panels\Ecran10\Commutateur06
563	Alarmes	Сообщения	\Graphical Panels\Base Panels\Ecran10\Commutateur01
591	Trend	Тренд	\Graphical Panels\Base Panels\Ecran40\Commutateur06
590	Alarmes	Сообщения	\Graphical Panels\Base Panels\Ecran40\Commutateur01
588	Maxxtec	Maxxtec	\Graphical Panels\Base Panels\Ecran30\Commutateur07
587	Pressure	Давление	\Graphical Panels\Base Panels\Ecran30\Commutateur08
586	Temperatur	Температура	\Graphical Panels\Base Panels\Ecran30\Commutateur07
585	Presse	Пресс	\Graphical Panels\Base Panels\Ecran30\Commutateur07
584	Configuration	Конфигурация	\Graphical Panels\Base Panels\Ecran30\Commutateur04
583	E-Stops	Аварийные остановки	\Graphical Panels\Base Panels\Ecran30\Commutateur07
582	Trend	Тренд	\Graphical Panels\Base Panels\Ecran30\Commutateur06
581	Alarmes	Сообщения	\Graphical Panels\Base Panels\Ecran30\Commutateur01
579	Maxxtec	Maxxtec	\Graphical Panels\Base Panels\Ecran20\Commutateur07
578	Pressure	Давление	\Graphical Panels\Base Panels\Ecran20\Commutateur08
577	Temperatur	Температура	\Graphical Panels\Base Panels\Ecran20\Commutateur07
576	Presse	Пресс	\Graphical Panels\Base Panels\Ecran20\Commutateur07
606	Maxxtec	Maxxtec	\Graphical Panels\Base Panels\Ecran61\Commutateur07
605	Pressure	Давление	\Graphical Panels\Base Panels\Ecran61\Commutateur08
604	Temperatur	Температура	\Graphical Panels\Base Panels\Ecran61\Commutateur07
603	Presse	Пресс	\Graphical Panels\Base Panels\Ecran61\Commutateur07
602	Configuration	Конфигурация	\Graphical Panels\Base Panels\Ecran61\Commutateur04
601	E-Stops	Аварийные остановки	\Graphical Panels\Base Panels\Ecran61\Commutateur07
600	Trend	Тренд	\Graphical Panels\Base Panels\Ecran61\Commutateur06
599	Alarmes	Сообщения	\Graphical Panels\Base Panels\Ecran61\Commutateur01
597	Maxxtec	Maxxtec	\Graphical Panels\Base Panels\Ecran40\Commutateur07
596	Pressure	Давление	\Graphical Panels\Base Panels\Ecran40\Commutateur08
595	Temperatur	Температура	\Graphical Panels\Base Panels\Ecran40\Commutateur07
594	Presse	Пресс	\Graphical Panels\Base Panels\Ecran40\Commutateur07
593	Configuration	Конфигурация	\Graphical Panels\Base Panels\Ecran40\Commutateur04
592	E-Stops	Аварийные остановки	\Graphical Panels\Base Panels\Ecran40\Commutateur07
623	Pressure	Давление	\Graphical Panels\Base Panels\Ecran62\Commutateur08
622	Temperatur	Температура	\Graphical Panels\Base Panels\Ecran62\Commutateur07
621	Presse	Пресс	\Graphical Panels\Base Panels\Ecran62\Commutateur07
620	Configuration	Конфигурация	\Graphical Panels\Base Panels\Ecran62\Commutateur04
619	E-Stops	Аварийные остановки	\Graphical Panels\Base Panels\Ecran62\Commutateur07
618	Trend	Тренд	\Graphical Panels\Base Panels\Ecran62\Commutateur06
617	Alarmes	Сообщения	\Graphical Panels\Base Panels\Ecran62\Commutateur01
639	Presse	Пресс	\Graphical Panels\Base Panels\Ecran80\Commutateur07
638	Configuration	Конфигурация	\Graphical Panels\Base Panels\Ecran80\Commutateur04
637	E-Stops	Аварийные остановки	\Graphical Panels\Base Panels\Ecran80\Commutateur07
636	Trend	Тренд	\Graphical Panels\Base Panels\Ecran80\Commutateur06
635	Alarmes	Сообщения	\Graphical Panels\Base Panels\Ecran80\Commutateur01
633	Maxxtec	Maxxtec	\Graphical Panels\Base Panels\Ecran70\Commutateur07
632	Pressure	Давление	\Graphical Panels\Base Panels\Ecran70\Commutateur08
631	Temperatur	Температура	\Graphical Panels\Base Panels\Ecran70\Commutateur07
630	Presse	Пресс	\Graphical Panels\Base Panels\Ecran70\Commutateur07
629	Configuration	Конфигурация	\Graphical Panels\Base Panels\Ecran70\Commutateur04
628	E-Stops	Аварийные остановки	\Graphical Panels\Base Panels\Ecran70\Commutateur07
627	Trend	Тренд	\Graphical Panels\Base Panels\Ecran70\Commutateur06
626	Alarmes	Сообщения	\Graphical Panels\Base Panels\Ecran70\Commutateur01
624	Maxxtec	Maxxtec	\Graphical Panels\Base Panels\Ecran62\Commutateur07
655	E-Stops	Аварийные остановки	\Graphical Panels\Base Panels\Ecran91\Commutateur07
654	Trend	Тренд	\Graphical Panels\Base Panels\Ecran91\Commutateur06
653	Alarmes	Сообщения	\Graphical Panels\Base Panels\Ecran91\Commutateur01
651	Maxxtec	Maxxtec	\Graphical Panels\Base Panels\Ecran90\Commutateur07
650	Pressure	Давление	\Graphical Panels\Base Panels\Ecran90\Commutateur08
649	Temperatur	Температура	\Graphical Panels\Base Panels\Ecran90\Commutateur07
648	Presse	Пресс	\Graphical Panels\Base Panels\Ecran90\Commutateur07
647	Configuration	Конфигурация	\Graphical Panels\Base Panels\Ecran90\Commutateur04
646	E-Stops	Аварийные остановки	\Graphical Panels\Base Panels\Ecran90\Commutateur07
645	Trend	Тренд	\Graphical Panels\Base Panels\Ecran90\Commutateur06
644	Alarmes	Сообщения	\Graphical Panels\Base Panels\Ecran90\Commutateur01
642	Maxxtec	Maxxtec	\Graphical Panels\Base Panels\Ecran80\Commutateur07
641	Pressure	Давление	\Graphical Panels\Base Panels\Ecran80\Commutateur08
640	Temperatur	Температура	\Graphical Panels\Base Panels\Ecran80\Commutateur07
671	Défaut thermique batterie de refroidissement 7	Перегрев батареи охлаждения 7	\Variable\P18_2\A_Batterie_Huile7\Alarm\Alarm Message
670	Défaut thermique batterie de refroidissement 6	Перегрев батареи охлаждения 6	\Variable\P18_2\A_Batterie_Huile6\Alarm\Alarm Message
669	Défaut thermique batterie de refroidissement 5	Перегрев батареи охлаждения 5	\Variable\P18_2\A_Batterie_Huile5\Alarm\Alarm Message
668	Défaut thermique batterie de refroidissement 4	Перегрев батареи охлаждения 4	\Variable\P18_2\A_Batterie_Huile4\Alarm\Alarm Message
667	Défaut thermique batterie de refroidissement 3	Перегрев батареи охлаждения 3	\Variable\P18_2\A_Batterie_Huile3\Alarm\Alarm Message
666	Défaut thermique batterie de refroidissement 2	Перегрев батареи охлаждения 2	\Variable\P18_2\A_Batterie_Huile2\Alarm\Alarm Message
665	Défaut thermique batterie de refroidissement 1	Перегрев батареи охлаждения 1	\Variable\P18_2\A_Batterie_Huile1\Alarm\Alarm Message
664	Défaut ATV pompe de circulation huile thermique presse	Ошибка ПЧ циркуляционного насоса масла	\Variable\P18_2\A_Pump_Huile\Alarm\Alarm Message
663	Defaut d'isolement du bus AS-i_2	Ошибка изоляции шины AS-i_2	\Variable\P18_2\A_CPI_Asi_Res_2\Alarm\Alarm Message
662	Defaut d'isolement du bus AS-i_1	Ошибка изоляции шины AS-i_1	\Variable\P18_2\A_CPI_Asi_Res_1\Alarm\Alarm Message
660	Maxxtec	Maxxtec	\Graphical Panels\Base Panels\Ecran91\Commutateur07
659	Pressure	Давление	\Graphical Panels\Base Panels\Ecran91\Commutateur08
658	Temperatur	Температура	\Graphical Panels\Base Panels\Ecran91\Commutateur07
657	Presse	Пресс	\Graphical Panels\Base Panels\Ecran91\Commutateur07
656	Configuration	Конфигурация	\Graphical Panels\Base Panels\Ecran91\Commutateur04
685	Compteurs horaire	Compteurs horaire	\Graphical Panels\Base Panels\Ecran10\Texte11
684	Pressage	Прессование	\Graphical Panels\Base Panels\Ecran10\Texte13
679	Hrs	Часы	\Graphical Panels\Base Panels\Ecran10\Texte08
672	Error\nSystem	Ошибка\nсистемы	\Graphical Panels\Base Panels\Ecran80\Commutateur04
690	Stop urgence	Аварийный стоп	\Graphical Panels\Base Panels\Ecran10\Texte42
691	Pression atteinte	Ожидание прессования	\Graphical Panels\Base Panels\Ecran10\Texte05
692	Aspiration Presse	Продувка пресса	\Graphical Panels\Base Panels\Ecran10\Texte40
693	Alim air comprimé	Подача свжатого воздуха	\Graphical Panels\Base Panels\Ecran10\Texte39
694	Plat. 15	Плита 15	\Graphical Panels\Base Panels\Ecran10\Texte06
699	Plat. 5	Плита 5	\Graphical Panels\Base Panels\Ecran10\Texte07
702	Huile	Масло	\Graphical Panels\Base Panels\Ecran10\Texte08
705	Plat. 19	Плита 19	\Graphical Panels\Base Panels\Ecran10\Texte02
708	Plat. 1	Плита 1	\Graphical Panels\Base Panels\Ecran10\Texte09
713	Graissage!!	Нужна смазка!!	\Graphical Panels\Base Panels\Ecran10\Texte25
714	Graissage!!	Нужна смазка!!	\Graphical Panels\Base Panels\Ecran20\Texte25
717	Huile	Масло	\Graphical Panels\Base Panels\Ecran20\Texte03
720	Plat. 1	Плита 1	\Graphical Panels\Base Panels\Ecran20\Texte11
723	Plat. 5	Плита 5	\Graphical Panels\Base Panels\Ecran20\Texte12
726	Plat. 15	Плита 15	\Graphical Panels\Base Panels\Ecran20\Texte13
729	Plat. 19	Плита 19	\Graphical Panels\Base Panels\Ecran20\Texte14
732	Graissage!!	Нужна смазка!!	\Graphical Panels\Base Panels\Ecran30\Texte25
776	Selection\nProgramme	Выбор\nпрограммы	\Graphical Panels\Base Panels\Ecran20\Commutateur03
779	PV:	PV:	\Graphical Panels\Base Panels\Ecran20\Texte08
782	TM:	TM:	\Graphical Panels\Base Panels\Ecran20\Texte24
783	Régulation en:	Регулятор:	\Graphical Panels\Base Panels\Ecran20\Texte01
784	Température presse	Température presse	\Graphical Panels\Base Panels\Ecran20\Texte02
786	Manu	Руч.	\Graphical Panels\Base Panels\Ecran20\Commutateur02\Label\Off
787	Auto	Авто.	\Graphical Panels\Base Panels\Ecran20\Commutateur02\Label\On
795	ET1	ET1	\Graphical Panels\Base Panels\Ecran20\Texte04
796	ET2	ET2	\Graphical Panels\Base Panels\Ecran20\Texte05
797	ET3	ET3	\Graphical Panels\Base Panels\Ecran20\Texte06
798	ET4	ET4	\Graphical Panels\Base Panels\Ecran20\Texte07
799	ETDV	ETDV	\Graphical Panels\Base Panels\Ecran20\Texte07
800	ETPV	ETPV	\Graphical Panels\Base Panels\Ecran20\Texte06
801	ET6	ET6	\Graphical Panels\Base Panels\Ecran20\Texte05
802	ET5	ET5	\Graphical Panels\Base Panels\Ecran20\Texte04
805	Selection\nProgramme	Выбор\nпрограммы	\Graphical Panels\Base Panels\Ecran30\Commutateur03
806	Mesure:	Mesure:	\Graphical Panels\Base Panels\Ecran30\Texte23
807	TM:	TM:	\Graphical Panels\Base Panels\Ecran30\Texte24
808	Régulation en:	Регулятор:	\Graphical Panels\Base Panels\Ecran30\Texte01
809	Pression presse	Давление в прессе	\Graphical Panels\Base Panels\Ecran30\Texte02
810	Manu	Руч.	\Graphical Panels\Base Panels\Ecran30\Commutateur02\Label\Off
811	Auto	Авто.	\Graphical Panels\Base Panels\Ecran30\Commutateur02\Label\On
816	EP4	EP4	\Graphical Panels\Base Panels\Ecran30\Texte10
817	EP3	EP3	\Graphical Panels\Base Panels\Ecran30\Texte09
818	EP2	EP2	\Graphical Panels\Base Panels\Ecran30\Texte08
819	EP1	EP1	\Graphical Panels\Base Panels\Ecran30\Texte03
820	EP5	EP5	\Graphical Panels\Base Panels\Ecran30\Texte04
821	EP6	EP6	\Graphical Panels\Base Panels\Ecran30\Texte05
822	EPPV	EPPV	\Graphical Panels\Base Panels\Ecran30\Texte06
823	EPDV	EPDV	\Graphical Panels\Base Panels\Ecran30\Texte07
830	1hy7	1hy7	\Graphical Panels\Base Panels\Ecran30\Texte14
831	1hy6	1hy6	\Graphical Panels\Base Panels\Ecran30\Texte13
832	1hy5	1hy5	\Graphical Panels\Base Panels\Ecran30\Texte12
833	1hy4	1hy4	\Graphical Panels\Base Panels\Ecran30\Texte11
834	1hy3	1hy3	\Graphical Panels\Base Panels\Ecran30\Texte03
835	1hy2	1hy2	\Graphical Panels\Base Panels\Ecran30\Texte15
836	1hy1	1hy1	\Graphical Panels\Base Panels\Ecran30\Texte16
837	Temps pressage Ph 1	Время прессования Фаза 1	\Graphical Panels\Base Panels\Ecran30\Texte19
840	Val écoulée:	Пред. знач.:	\Graphical Panels\Base Panels\Ecran30\Texte22
841	Consigne:	Уставка:	\Graphical Panels\Base Panels\Ecran30\Texte25
862	Out:	Вых.:	\Graphical Panels\Base Panels\Ecran20\Texte23
859	1 Max!!	1 Max!!	\Graphical Panels\Base Panels\Ecran30\Texte18
858	1 Max!!	1 Max!!	\Graphical Panels\Base Panels\Ecran20\Texte10
857	1 Max!!	1 Max!!	\Graphical Panels\Base Panels\Ecran10\Texte01
848	Consigne:	Уставка:	\Graphical Panels\Base Panels\Ecran30\Texte21
849	Val écoulée:	Пред. знач.:	\Graphical Panels\Base Panels\Ecran30\Texte20
852	Temps pressage Ph 2	Время прессования Фаза 2	\Graphical Panels\Base Panels\Ecran30\Texte18
879	1hy7	1hy7	\Graphical Panels\Base Panels\Ecran10\Texte14
878	1hy1	1hy1	\Graphical Panels\Base Panels\Ecran10\Texte16
877	Cool	Охл.	\Graphical Panels\Base Panels\Ecran20\Texte03
874	Heat	Нагр.	\Graphical Panels\Base Panels\Ecran20\Texte15
895	> Max	> Max	\Graphical Panels\Base Panels\Ecran10\Texte14
884	1hy2	1hy2	\Graphical Panels\Base Panels\Ecran10\Texte15
883	1hy3	1hy3	\Graphical Panels\Base Panels\Ecran10\Texte03
882	1hy4	1hy4	\Graphical Panels\Base Panels\Ecran10\Texte11
881	1hy5	1hy5	\Graphical Panels\Base Panels\Ecran10\Texte12
880	1hy6	1hy6	\Graphical Panels\Base Panels\Ecran10\Texte13
911	Batterie 5	Батарея 5	\Graphical Panels\Base Panels\Ecran20\Texte12
910	Batterie 6	Батарея 6	\Graphical Panels\Base Panels\Ecran20\Texte04
909	Batterie 7	Батарея 7	\Graphical Panels\Base Panels\Ecran20\Texte14
908	Batterie 1	Батарея 1	\Graphical Panels\Base Panels\Ecran20\Texte16
907	Pression	Давление	\Graphical Panels\Base Panels\Ecran62\Commutateur04
906	Températur	Температура	\Graphical Panels\Base Panels\Ecran62\Commutateur03
905	Général	Общее	\Graphical Panels\Base Panels\Ecran62\Commutateur05
901	Presse\nen chauffage	Пресс\nнагревается	\Graphical Panels\Base Panels\Ecran20\Texte02
